Old_name,New_name,Datatype
year,YEAR,character
month,MONTH,numeric
day,DAY,numeric
dep_time,DEP_TIME,numeric
sched_dep_time,SCHED_DEP_TIME,numeric
dep_delay,DEP_DELAY,numeric
arr_time,ARR_TIME,numeric
sched_arr_time,SCHED_ARR_TIME,numeric
arr_delay,ARR_DELAY,numeric
carrier,CARRIER,character
flight,FLIGHT,character
tailnum,TAILNUM,character
origin,ORIGIN,character
dest,DEST,character
air_time,AIR_TIME,numeric
distance,DISTANCE,numeric
hour,HOUR,numeric
minute,MINUTE,numeric
time_hour,TIME_HOUR,time
